,"2019-04-01","2019-04-08","2019-04-15","2019-04-22","2019-04-29","2019-05-06","2019-05-13","2019-05-20","2019-05-27","2019-06-03","2019-06-10","2019-06-17","2019-06-24","2019-07-01","2019-07-08","2019-07-15","2019-07-22","2019-07-29","2019-08-05","2019-08-12","2019-08-19","2019-08-26","2019-09-02","2019-09-09","2019-09-16","2019-09-23","2019-09-30","2019-10-07","2019-10-14","2019-10-21","2019-10-28","2019-11-04","2019-11-11","2019-11-18","2019-11-25","2019-12-02","2019-12-09","2019-12-16","2019-12-23","2019-12-30","2020-01-06","2020-01-13","2020-01-20","2020-01-27","2020-02-03","2020-02-10","2020-02-17","2020-02-24","2020-03-02","2020-03-09","2020-03-16","2020-03-23","2020-03-30"
ABM,37.119998931884766,37.41999816894531,37.369998931884766,37.279998779296875,38.36000061035156,38.31999969482422,37.86000061035156,37.099998474121094,36.25,39.36000061035156,39.7599983215332,39.41999816894531,40.0,40.72999954223633,41.189998626708984,41.36000061035156,42.0099983215332,40.689998626708984,40.59000015258789,38.529998779296875,36.84000015258789,37.2599983215332,35.34000015258789,36.29999923706055,35.959999084472656,36.36000061035156,34.790000915527344,36.119998931884766,37.5099983215332,37.400001525878906,36.459999084472656,37.810001373291016,37.88999938964844,37.63999938964844,37.9900016784668,38.13999938964844,37.09000015258789,38.70000076293945,38.5,38.31999969482422,38.65999984741211,39.790000915527344,39.040000915527344,38.13999938964844,38.41999816894531,38.869998931884766,38.41999816894531,32.91999816894531,33.900001525878906,27.280000686645508,21.049999237060547,21.989999771118164,24.360000610351562
ADM,42.93000030517578,43.380001068115234,42.7599983215332,40.90999984741211,43.66999816894531,42.43000030517578,40.68000030517578,39.15999984741211,38.31999969482422,39.58000183105469,40.790000915527344,41.08000183105469,40.79999923706055,41.939998626708984,41.91999816894531,40.25,40.59000015258789,40.06999969482422,38.36000061035156,37.84000015258789,37.43000030517578,38.04999923706055,38.709999084472656,41.630001068115234,40.900001525878906,40.939998626708984,40.349998474121094,40.459999084472656,39.63999938964844,41.0099983215332,42.43000030517578,43.310001373291016,42.869998931884766,42.720001220703125,42.93000030517578,43.90999984741211,45.20000076293945,45.790000915527344,46.29999923706055,46.02000045776367,43.95000076293945,45.25,44.29999923706055,44.7599983215332,45.709999084472656,44.77000045776367,43.900001525878906,37.650001525878906,37.63999938964844,34.63999938964844,30.610000610351562,33.5,35.18000030517578
ADP,160.33999633789062,163.30999755859375,162.44000244140625,163.6999969482422,160.19000244140625,161.02999877929688,161.72000122070312,161.85000610351562,160.1199951171875,166.9199981689453,165.5399932861328,168.16000366210938,165.3300018310547,164.83999633789062,165.1300048828125,166.4600067138672,169.27000427246094,164.27000427246094,167.72999572753906,167.02000427246094,164.8000030517578,169.83999633789062,173.25,159.74000549316406,159.3000030517578,160.42999267578125,159.1699981689453,162.52000427246094,163.5399932861328,161.9600067138672,162.97999572753906,162.72999572753906,171.1699981689453,169.64999389648438,170.77999877929688,169.97999572753906,168.25999450683594,171.08999633789062,170.77000427246094,169.9600067138672,171.08999633789062,176.8699951171875,177.2100067138672,171.38999938964844,179.10000610351562,181.25,178.5800018310547,154.74000549316406,159.14999389648438,144.5,112.05999755859375,131.3800048828125,136.67999267578125
AFL,49.0,49.5099983215332,48.91999816894531,49.529998779296875,50.4900016784668,51.27000045776367,52.18000030517578,52.0099983215332,51.29999923706055,54.54999923706055,55.040000915527344,54.95000076293945,54.810001373291016,56.810001373291016,56.88999938964844,55.0,53.88999938964844,52.529998779296875,52.880001068115234,52.650001525878906,48.36000061035156,50.18000030517578,51.56999969482422,51.77000045776367,51.970001220703125,51.88999938964844,52.099998474121094,52.439998626708984,52.709999084472656,53.2599983215332,53.61000061035156,54.13999938964844,54.400001525878906,53.9900016784668,54.84000015258789,52.9900016784668,53.16999816894531,53.13999938964844,52.619998931884766,52.97999954223633,52.06999969482422,53.41999816894531,52.38999938964844,51.56999969482422,52.93000030517578,52.810001373291016,51.529998779296875,42.849998474121094,40.779998779296875,34.689998626708984,26.729999542236328,35.400001525878906,34.2400016784668
ALB,86.13999938964844,83.66000366210938,82.56999969482422,75.55999755859375,77.05000305175781,72.62999725341797,67.76000213623047,66.80000305175781,63.29999923706055,69.08000183105469,70.87999725341797,68.33999633789062,70.41000366210938,70.51000213623047,72.62999725341797,74.47000122070312,74.58000183105469,68.68000030517578,70.25,63.09000015258789,59.95000076293945,61.72999954223633,63.22999954223633,69.27999877929688,68.86000061035156,68.13999938964844,66.31999969482422,68.91000366210938,67.12999725341797,63.59000015258789,64.48999786376953,67.9800033569336,66.13999938964844,64.9000015258789,65.37999725341797,64.30000305175781,66.62999725341797,70.36000061035156,72.01000213623047,71.56999969482422,72.0999984741211,80.9000015258789,81.18000030517578,80.27999877929688,82.54000091552734,89.63999938964844,92.43000030517578,81.8499984741211,82.5999984741211,68.01000213623047,53.45000076293945,55.02000045776367,56.369998931884766
AOS,55.16999816894531,55.5099983215332,56.4900016784668,55.90999984741211,53.63999938964844,50.220001220703125,43.849998474121094,44.029998779296875,40.5,43.83000183105469,45.529998779296875,45.970001220703125,47.15999984741211,47.0099983215332,45.189998626708984,43.58000183105469,44.880001068115234,43.7400016784668,45.529998779296875,46.27000045776367,45.0099983215332,46.52000045776367,47.810001373291016,50.2400016784668,47.47999954223633,47.65999984741211,45.5099983215332,47.9900016784668,51.0099983215332,51.06999969482422,50.279998779296875,52.08000183105469,50.779998779296875,48.20000076293945,48.400001525878906,46.790000915527344,46.52000045776367,47.41999816894531,47.810001373291016,47.349998474121094,47.619998931884766,46.93000030517578,45.43000030517578,42.689998626708984,41.9900016784668,43.93000030517578,44.09000015258789,39.54999923706055,42.689998626708984,41.4900016784668,34.75,36.849998474121094,37.810001373291016
APD,193.19000244140625,194.16000366210938,198.10000610351562,202.57000732421875,209.5800018310547,208.2899932861328,209.9199981689453,204.49000549316406,203.58999633789062,223.05999755859375,219.25,222.13999938964844,226.3699951171875,230.5800018310547,227.16000366210938,224.52999877929688,230.5500030517578,222.83999633789062,229.8699951171875,228.75999450683594,220.63999938964844,225.9199981689453,225.58999633789062,222.24000549316406,221.5500030517578,221.05999755859375,213.8800048828125,217.2899932861328,214.8800048828125,213.25999450683594,213.55999755859375,233.8699951171875,240.9199981689453,237.60000610351562,236.3300018310547,232.02999877929688,230.74000549316406,235.0,235.49000549316406,226.0,232.0,237.0,243.9499969482422,238.7100067138672,249.9199981689453,256.010009765625,254.97000122070312,219.61000061035156,229.7100067138672,206.36000061035156,189.14999389648438,193.1699981689453,199.61000061035156
AROW,32.67961120605469,33.135921478271484,33.213592529296875,32.81553268432617,33.57281494140625,32.82524108886719,32.57281494140625,32.74757385253906,31.233009338378906,32.04854202270508,32.436893463134766,32.44660186767578,33.71844482421875,33.44660186767578,33.1456298828125,32.66990280151367,32.71844482421875,31.941747665405273,31.786407470703125,31.067960739135742,30.320388793945312,31.22330093383789,31.339805603027344,34.73786544799805,34.5099983215332,33.43000030517578,32.91999816894531,32.790000915527344,33.20000076293945,34.33000183105469,35.29999923706055,35.68000030517578,36.0,35.779998779296875,35.86000061035156,35.63999938964844,37.310001373291016,37.779998779296875,37.52000045776367,37.119998931884766,37.0099983215332,37.099998474121094,36.22999954223633,35.060001373291016,34.79999923706055,34.91999816894531,34.88999938964844,31.670000076293945,31.040000915527344,28.290000915527344,24.770000457763672,25.850000381469727,27.8700008392334
ARTNA,37.15999984741211,36.099998474121094,35.310001373291016,35.040000915527344,36.02000045776367,36.060001373291016,36.5,36.900001525878906,35.61000061035156,38.0,37.209999084472656,36.4900016784668,37.16999816894531,36.709999084472656,36.40999984741211,35.7599983215332,34.869998931884766,35.63999938964844,35.029998779296875,36.61000061035156,35.5099983215332,36.400001525878906,35.41999816894531,36.689998626708984,36.33000183105469,37.150001525878906,37.209999084472656,36.72999954223633,37.2400016784668,36.63999938964844,37.349998474121094,37.150001525878906,36.40999984741211,36.689998626708984,37.20000076293945,37.709999084472656,37.06999969482422,37.290000915527344,37.369998931884766,36.689998626708984,36.43000030517578,39.20000076293945,39.0099983215332,37.720001220703125,37.29999923706055,37.779998779296875,37.439998626708984,34.33000183105469,35.529998779296875,33.75,32.689998626708984,36.060001373291016,37.380001068115234
ATO,101.52999877929688,101.19000244140625,99.18000030517578,100.9800033569336,102.94000244140625,101.91999816894531,102.66000366210938,102.80999755859375,101.80000305175781,104.20999908447266,104.98999786376953,107.45999908447266,105.55999755859375,107.11000061035156,106.45999908447266,107.2699966430664,108.12999725341797,109.62999725341797,108.55999755859375,110.44000244140625,108.62999725341797,110.2300033569336,109.08999633789062,109.7300033569336,112.9800033569336,114.05000305175781,113.13999938964844,111.36000061035156,111.5999984741211,112.30000305175781,111.69999694824219,107.31999969482422,109.48999786376953,107.31999969482422,106.95999908447266,106.5199966430664,107.05000305175781,112.26000213623047,110.12999725341797,111.11000061035156,111.38999938964844,114.9800033569336,117.37999725341797,117.02999877929688,117.58999633789062,120.44999694824219,118.69999694824219,103.25,111.25,100.66999816894531,86.19999694824219,97.41000366210938,99.2300033569336
